mean_us,p50_us,p95_us,p99_us,throughput_eps,mean_candidates,divergences,seed,mode,P,engine,n
32.0373312,23.201,59.103,116.906,31213.586230303732,200.0,0,2026081415,selective,200,reference,10000
10.338587400000002,8.2,18.401,41.11400000000026,96725.0129355196,1.7257,0,2026081415,selective,200,indexed,10000
9.7671479,8.2,14.905949999999928,36.102,102384.03372595597,1.7257,0,2026081415,selective,200,incremental,10000
26.015993599999998,23.001,43.102,75.00500000000002,38437.89383466023,200.0,0,2026081416,selective,200,reference,10000
9.5361731,8.0,15.501,37.50400000000005,104863.86829534377,1.7257,0,2026081416,selective,200,indexed,10000
9.9458929,8.201,15.401,35.701010000000004,100544.01450472084,1.7257,0,2026081416,selective,200,incremental,10000
25.8627122,22.901,44.102,69.70700000000006,38665.70498356317,200.0,0,2026081417,selective,200,reference,10000
9.0254253,7.8,12.7,32.103000000000016,110798.1027774946,1.7257,0,2026081417,selective,200,indexed,10000
9.1539095,8.0,14.30005,35.60301000000004,109242.94149947628,1.7257,0,2026081417,selective,200,incremental,10000
26.068779499999998,22.901,41.502,73.604,38360.06208115727,200.0,0,2026081418,selective,200,reference,10000
9.0503619,7.8,12.601,31.802990000000023,110492.81907721281,1.7257,0,2026081418,selective,200,indexed,10000
9.2713491,8.101,13.601,35.30399000000004,107859.16798235977,1.7257,0,2026081418,selective,200,incremental,10000
25.740449599999998,22.901,42.302,69.604,38849.36026913842,200.0,0,2026081419,selective,200,reference,10000
8.7112537,7.8,13.101,31.90101,114794.03934705746,1.7257,0,2026081419,selective,200,indexed,10000
9.9347669,8.2,15.901,38.402,100656.61429862033,1.7257,0,2026081419,selective,200,incremental,10000
26.412281200000002,22.901,42.806999999999924,73.70500000000001,37861.174974920374,200.0,0,2026081420,selective,200,reference,10000
8.7837251,7.801,13.1,32.904000000000046,113846.91444863183,1.7257,0,2026081420,selective,200,indexed,10000
9.307422299999999,8.101,13.301,33.704990000000066,107441.13329852886,1.7257,0,2026081420,selective,200,incremental,10000
26.900023700000002,23.001,43.10205,76.81400000000022,37174.68843717041,200.0,0,2026081421,selective,200,reference,10000
8.6358884,7.8,12.8,31.703000000000024,115795.84562486934,1.7257,0,2026081421,selective,200,indexed,10000
8.9426334,8.101,13.0,32.70201000000002,111823.88400266973,1.7257,0,2026081421,selective,200,incremental,10000
26.709092300000002,22.901,43.002050000000004,78.0080000000001,37440.43372076706,200.0,0,2026081422,selective,200,reference,10000
8.8285666,7.9,13.001,35.90101000000001,113268.67036377116,1.7257,0,2026081422,selective,200,indexed,10000
9.0657029,8.101,13.1,34.40399000000004,110305.84291483896,1.7257,0,2026081422,selective,200,incremental,10000
34.9598107,24.801,60.11394999999985,129.71001000000007,28604.273878405183,200.0,0,2026081423,selective,200,reference,10000
9.0097847,7.801,14.5,33.805000000000064,110990.44353412795,1.7257,0,2026081423,selective,200,indexed,10000
9.8388113,8.3,14.301,36.80300000000002,101638.29445534747,1.7257,0,2026081423,selective,200,incremental,10000
25.746308000000003,22.902,41.902,73.40301000000001,38840.52035732657,200.0,0,2026081424,selective,200,reference,10000
